1,39,5,77516,13,10,9,7,13,0,2174,0,40,1,-1
2,25,12,176756,9,10,4,5,13,0,0,0,35,1,-1
3,23,8,190709,12,10,2,7,13,0,0,0,52,1,-1
4,53,12,88506,13,15,13,8,13,0,0,0,40,1,-1
5,47,4,109832,9,7,10,7,13,0,0,0,60,1,-1
6,28,19,183175,10,7,9,7,13,1,0,0,40,1,-1
7,31,8,125927,4,15,4,8,13,0,0,0,40,1,-1
8,28,19,212563,10,7,7,4,7,1,0,0,25,1,-1
9,31,8,189265,9,10,9,7,13,1,0,0,40,1,-1
10,40,19,118853,13,15,10,8,13,0,0,0,60,1,-1
11,46,19,146195,12,7,3,7,7,1,0,0,36,1,-1
12,36,19,108293,9,5,8,4,13,1,0,0,24,1,-1
13,29,19,191535,9,7,12,7,13,0,0,0,60,1,-1
14,66,8,54826,11,5,13,7,13,1,0,0,20,1,-1
15,30,19,633742,10,10,12,7,7,0,0,0,45,1,-1
16,23,19,197387,3,15,5,1,13,0,0,0,40,0,-1
17,44,8,160943,9,15,5,8,7,0,0,0,40,1,-1
18,54,19,176681,9,15,9,8,7,0,0,0,20,1,-1
19,33,19,110978,10,7,12,1,1,1,0,0,40,1,-1
20,45,19,153141,9,15,9,8,13,0,0,0,40,1,-1
21,45,19,98092,9,15,11,8,13,0,0,0,60,1,-1
22,43,19,477983,9,15,6,8,7,0,0,0,40,1,-1
23,36,19,200352,13,15,13,8,13,0,0,0,45,1,-1
24,21,19,153718,10,10,8,7,5,1,0,0,25,1,-1
25,22,19,399087,3,15,7,1,13,1,0,0,40,0,-1
26,58,12,321171,9,15,6,8,13,0,0,0,40,1,-1
27,19,19,104112,9,10,11,4,7,0,0,0,30,0,-1
28,26,19,192262,9,15,8,8,13,0,0,0,40,1,-1
29,22,19,362589,12,10,11,7,13,1,0,0,15,1,-1
30,38,19,172927,9,15,11,8,13,0,0,0,50,1,-1
31,27,19,301302,13,10,12,7,13,0,0,0,50,1,-1
32,28,19,110145,9,15,9,8,13,0,0,0,40,1,-1
33,34,5,240283,9,7,5,4,13,1,0,0,40,1,-1
34,17,19,202521,7,10,13,5,13,0,0,0,40,1,-1
35,27,19,405855,5,10,12,1,13,0,0,0,40,0,-1
36,32,19,115745,10,15,13,8,13,0,0,0,40,1,-1
37,35,19,285020,9,10,12,7,13,0,0,0,40,1,-1
38,28,5,70100,13,10,13,7,13,0,0,0,20,1,-1
39,34,19,187251,9,7,13,4,13,1,0,0,25,1,-1
40,58,19,180980,10,7,8,4,13,1,0,0,42,0,-1
41,28,19,189346,9,7,12,7,13,0,0,0,45,1,-1
42,44,19,109339,7,7,7,4,1,1,0,0,46,0,-1
43,30,19,237903,10,10,6,4,13,1,0,0,40,1,-1
44,72,19,205343,7,5,9,4,13,1,0,0,40,1,-1
45,43,4,188436,14,15,10,8,13,0,5013,0,45,1,-1
46,58,8,283635,13,10,13,7,13,1,0,0,40,1,-1
47,55,19,105138,9,15,13,2,5,1,0,0,40,1,-1
48,35,12,194404,12,10,4,7,13,0,0,0,40,1,-1
49,39,19,207824,9,10,6,5,13,0,0,0,60,1,-1
50,38,12,267556,9,15,11,8,13,0,0,0,64,1,-1
51,31,19,55849,10,15,12,8,13,0,0,0,45,1,-1
52,34,19,106742,9,15,12,8,13,0,0,0,45,1,-1
53,17,19,80077,7,10,13,5,13,1,0,0,20,1,-1
54,34,19,136721,9,7,10,7,13,1,0,0,40,1,-1
55,25,19,202480,12,10,13,1,13,0,0,0,45,1,-1
56,18,19,208103,7,10,8,1,13,0,0,0,25,1,-1
57,33,19,182556,9,10,8,7,13,0,0,0,40,1,-1
58,45,19,51164,10,15,13,2,7,1,0,0,40,1,-1
59,29,19,267034,7,10,12,5,7,0,0,0,40,0,-1
60,34,8,119411,9,7,2,4,13,0,0,0,40,0,-1
61,23,8,282579,11,7,3,7,13,0,0,0,56,1,-1
62,59,19,192130,9,15,13,8,13,0,0,0,16,1,-1
63,68,12,315859,7,10,4,4,13,0,0,0,20,1,-1
64,47,12,93208,9,15,8,2,13,1,0,0,75,0,-1
